match_id,date,team1,team2,venue,result,mom,team1_score,team2_score,status,match_type
IPL2026_001,28-Mar-2026,Sunrisers Hyderabad,Royal Challengers Bengaluru,M. Chinnaswamy Stadium Bengaluru,Royal Challengers Bengaluru won by 6 wickets,Jacob Duffy,201/9,203/4,Completed,league
IPL2026_002,29-Mar-2026,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium Mumbai,Mumbai Indians won by 4 wickets,Shardul thakur,220/4,224/4,Completed,league
IPL2026_003,30-Mar-2026,Chennai Super Kings,Rajasthan Royals,M. A. Chidambaram Stadium Chennai,Rajasthan Royals won by 8 wickets,Nandre Burger,127/10,128/2,Completed,league
IPL2026_004,30-Mar-2026,Gujarat Titans,Punjab Kings,Narendra Modi Stadium Ahmedabad,Punjab Kings won by 3 wickets,Cooper Connolly,162/6,165/7,Completed,league
IPL2026_005,31-Mar-2026,Lucknow Super Giants,Delhi Capitals,Ekana Cricket Stadium Lucknow,Delhi Capitals won by 4 wickets,Sameer Rizvi,141/10,145/4,Completed,league
IPL2026_006,01-Apr-2026,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi Stadium Hyderabad,Kolkata Knight Riders won by 65 runs,Nitish Kumar Reddy,161/10,226/8,Completed,league
IPL2026_007,02-Apr-2026,Chennai Super Kings,Punjab Kings,M. A. Chidambaram Stadium Chennai,Punjab Kings won by 5 wickets,Cooper connolly,209/5,210/5,Completed,league
IPL2026_008,03-Apr-2026,Mumbai Indians,Delhi Capitals,Wankhede Stadium Mumbai,Delhi Capitals won by 6 wickets,Axar Patel,162/6,164/4,Completed,league
IPL2026_009,04-Apr-2026,Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium Jaipur,Rajasthan Royals won by 6 runs,Tilak Varma,210/6,204/8,Completed,league
IPL2026_010,05-Apr-2026,Sunrisers Hyderabad,Lucknow Super Giants,Rajiv Gandhi Stadium Hyderabad,Sunrisers Hyderabad won by 5 wickets,Rishabh Pant,156/9,160/5,Completed,league
IPL2026_011,06-Apr-2026,Royal Challengers Bengaluru,Chennai Super Kings,M. Chinnaswamy Stadium Bengaluru,Royal Challengers Bengaluru won by 43 runs,Bhuvaneshwar Kumar,250/3,207,Completed,league
IPL2026_012,07-Apr-2026,Kolkata Knight Riders,Punjab Kings,Eden Gardens Kolkata,Match abandoned (No result),Unknown,25/2,Unknown,Completed,league
