Player,Team,Role,Matches,Runs,Batting_Avg,Strike_Rate,Wickets,Bowling_Avg,Economy,Best_Bowling
Kagiso Rabada,Gujarat Titans,BWL,14,18,2.25,90.00,29,20.54,9.18,3/25
Bhuvneshwar Kumar,Royal Challengers Bengaluru,BWL,14,34,4.25,95.24,28,18.50,8.07,4/23
Rashid Khan,Gujarat Titans,BWL,14,41,7.00,125.38,3,21.94,8.71,4/33
Jofra Archer,Rajasthan Royals,BWL,13,14,2.33,82.35,25,24.38,9.14,3/20
Anshul Kamboj,Chennai Super Kings,BWL,14,22,3.14,88.00,21,25.23,10.52,3/22
Eshan Malinga,Sunrisers Hyderabad,BWL,14,12,2.40,80.00,19,24.57,9.27,4/32
Kartik Tyagi,Kolkata Knight Riders,BWL,13,8,1.14,72.72,18,24.61,9.42,3/22
Mohammed Siraj,Gujarat Titans,BWL,14,10,1.43,76.92,17,25.76,8.58,3/26
Prince Yadav,Lucknow Super Giants,BWL,13,16,2.67,84.21,16,26.68,8.71,3/32
Sakib Hussain,Sunrisers Hyderabad,BWL,10,6,1.20,75.00,15,23.00,9.07,4/24
Ravi Bishnoi,Rajasthan Royals,BWL,13,12,3.00,109.09,14,28.43,8.62,3/24
Jasprit Bumrah,Mumbai Indians,BWL,12,8,1.33,80.00,14,22.14,7.48,3/19
Sunil Narine,Kolkata Knight Riders,ALL,13,396,39.60,183.33,13,24.31,8.98,3/18
Yuzvendra Chahal,Punjab Kings,BWL,13,6,2.00,85.71,13,29.31,8.17,3/22
Josh Hazlewood,Royal Challengers Bengaluru,BWL,11,4,0.80,57.14,13,21.38,8.03,4/12
Avesh Khan,Lucknow Super Giants,BWL,12,14,2.33,87.50,12,27.58,9.56,3/26
Arshdeep Singh,Punjab Kings,BWL,13,10,2.00,83.33,12,26.17,9.13,3/21
Mitchell Starc,Delhi Capitals,BWL,10,8,2.00,72.73,12,24.17,9.28,3/22
